OBJECTID,GRIZZLY_BEAR_POP_UNIT_ID,GRIZZLY_BEAR_POPULATION_TAG,POPULATION_NAME,DISPLAY_NAME,STATUS,WITHIN_BC_IND,REGION_RESPONSIBLE_NAME,GAME_MANAGEMENT_ZONE_NAME,National_Park,Closed_to_Hunting_2012,Closed_to_Hunting_2015,AREA_KM2,AREA_KM2_noWaterIce,EST_POP_2015,EST_POP_2018,EST_POP_DENSITY_2015,EST_POP_DENSITY_2018
150,785,56,Spatsizi,Spatsizi,Viable,Y,Skeena,Stikine,,N,N,558.2393763,556.735837,17,17,30.53512764,30.53512764
151,785,56,Spatsizi,Spatsizi,Viable,Y,Skeena,Stikine,,N,N,5505.25061,4948.849913,165,165,33.34107971,33.34107971
152,785,56,Spatsizi,Spatsizi,Viable,Y,Skeena,Stikine,,N,N,7633.124115,7438.799556,236,236,31.7255497,31.7255497
153,786,83,Edziza-Lower Stikine,Edziza-Lower Stikine,Viable,Y,Skeena,Stikine,,N,N,14477.48687,11092.23973,326,326,29.38991737,29.38991737
154,790,62,Stewart,Stewart,Viable,Y,Skeena,North Coast,,N,N,3617.327504,3042.516935,103,103,33.85354996,33.85354996
155,792,63,Cranberry,Cranberry,Viable,Y,Skeena,Upper Skeena,,N,N,4442.399459,4347.379555,134,134,30.82316589,30.82316589
156,792,63,Cranberry,Cranberry,Viable,Y,Skeena,North Coast,,N,N,2751.682861,2632.77903,80,80,30.38614273,30.38614273
157,796,65,Bulkley-Lakes,Bulkley-\Lakes,Viable,Y,Skeena,Upper Nechako,,N,N,7350.081765,7070.108462,123,123,17.39718628,17.39718628
158,796,65,Bulkley-Lakes,Bulkley-\Lakes,Viable,Y,Skeena,North Coast,,N,N,3065.484533,2766.721525,73,73,26.3850193,26.3850193
159,796,65,Bulkley-Lakes,Bulkley-\Lakes,Viable,Y,Skeena,Upper Nechako,,N,N,2905.010744,2495.213803,19,19,7.61457777,7.61457777
160,802,69,Tweedsmuir,Tweedsmuir,Viable,Y,Cariboo,Central Coast,,N,N,2554.486915,1750.375851,29,29,16.56787109,16.56787109
161,802,69,Tweedsmuir,Tweedsmuir,Viable,Y,Cariboo,Central Coast,,Y,Y,2332.239861,2007.737453,96,96,47.8150177,47.8150177
162,803,15,Kitlope-Fiordland,Kitlope-\Fiordland,Viable,Y,Cariboo,Central Coast,,N,N,3420.75808,2835.564131,65,65,22.92312813,22.92312813
163,835,32,Knight-Bute,Knight-\Bute,Viable,Y,Vancouver Island,Knight Inlet,,Y,Y,1131.663766,965.565487,47,47,48.67613983,48.67613983
164,835,32,Knight-Bute,Knight-\Bute,Viable,Y,Vancouver Island,Knight Inlet,,N,N,1689.144403,1030.987307,49,49,47.52725983,47.52725983
165,835,32,Knight-Bute,Knight-\Bute,Viable,Y,Vancouver Island,Knight Inlet,,N,N,3252.605078,2367.432252,108,108,45.61904526,45.61904526
166,817,27,Kingcome-Wakeman,Kingcome-\Wakeman,Viable,Y,Vancouver Island,Knight Inlet,,Y,Y,1888.207407,849.7446563,13,13,15.29871368,15.29871368
167,817,27,Kingcome-Wakeman,Kingcome-\Wakeman,Viable,Y,Vancouver Island,Knight Inlet,,N,N,1711.5625,1291.095804,65,65,50.34482956,50.34482956
168,817,27,Kingcome-Wakeman,Kingcome-\Wakeman,Viable,Y,Vancouver Island,Knight Inlet,,N,N,3262.244899,2712.944446,121,121,44.60098648,44.60098648
169,797,66,Khutzeymateen,Khutzeymateen,Viable,Y,Skeena,North Coast,,Y,Y,3947.014474,3431.72693,107,107,31.17963791,31.17963791
170,803,15,Kitlope-Fiordland,Kitlope-\Fiordland,Viable,Y,Cariboo,Central Coast,,Y,Y,842.1762725,721.824728,34,34,47.10284805,47.10284805
171,777,84,Tatshenshini,Tatshenshini,Viable,Y,Skeena,Atlin,,N,N,9434.610846,6279.669377,223,223,35.51142502,35.51142502
172,777,84,Tatshenshini,Tatshenshini,Viable,Y,Skeena,Atlin,,N,N,3540.090406,3091.008065,71,71,22.96985245,22.96985245
173,801,10,Robson,Robson,Viable,Y,Omineca,Upper Fraser,,Y,Y,2195.536855,2008.902691,56,56,27.87591553,27.87591553
174,801,10,Robson,Robson,Viable,Y,Omineca,Upper Fraser,,N,N,3339.472336,2985.231407,92,92,30.81838226,30.81838226
