OBJECTID,GRIZZLY_BEAR_POP_UNIT_ID,GRIZZLY_BEAR_POPULATION_TAG,POPULATION_NAME,DISPLAY_NAME,STATUS,WITHIN_BC_IND,VERSION_NAME,VERSION_YEAR_MODIFIED,WILDLIFE_MGMT_UNIT_ID,REGION_RESPONSIBLE,REGION_RESPONSIBLE_NAME,GAME_MANAGEMENT_ZONE_ID,GAME_MANAGEMENT_ZONE_NAME,National_Park,FID_WMU_BC,GBPU_MU_LEH_uniqueID,WMU_linkID,COUNTER_ID,MU,LEH_Zone,Closed_to_Hunting_2012,Closed_to_Hunting_2015,AREA_KM2,AREA_KM2_noWaterIce,EST_POP_2015,EST_POP_2018,EST_POP_DENSITY_2015,EST_POP_DENSITY_2018,GIS_File_Version_Date
71,803,15,Kitlope-Fiordland,Kitlope-\Fiordland,Viable,Y,2015,2015,6-3,6,Skeena,6b,North Coast,,135,78,135,392,6-03, ,Y,Y,6923.311489,5709.514822,115,115,20.14181709,20.14181709,2020-01-21
72,804,11,Blackwater-West Chilcotin,Blackwater-\West Chilcotin,Threatened,Y,2015,2015,5-13,5,Cariboo,5c,North Chilcotin,,103,79,103,235,5-13, ,Y,Y,8237.930022,8149.875802,15,15,1.840518832,1.840518832,2020-01-21
73,804,11,Blackwater-West Chilcotin,Blackwater-\West Chilcotin,Threatened,Y,2015,2015,5-12,5,Cariboo,5c,North Chilcotin,,105,80,105,234,5-12, ,Y,Y,10182.47581,10032.52806,20,20,1.993515491,1.993515491,2020-01-21
74,804,11,Blackwater-West Chilcotin,Blackwater-\West Chilcotin,Threatened,Y,2015,2015,6-1,6,Skeena,6c,Upper Nechako,,146,81,146,296,6-01, ,Y,Y,4242.002683,4048.219506,18,18,4.446399212,4.446399212,2020-01-21
75,806,12,Quesnel Lake North,Quesnel \Lake \North,Viable,Y,2015,,5-16,5,Cariboo,5a,Quesnel Highland,,101,82,101,251,5-16, ,Y,Y,1144.279982,1028.923753,30,30,29.15667915,29.15667915,2020-01-21
76,806,12,Quesnel Lake North,Quesnel \Lake \North,Viable,Y,2015,,5-15,5,Cariboo,5a,Quesnel Highland,,102,83,102,242,5-15,5-15C,N,N,1667.744699,1532.282455,36,36,23.49436378,23.49436378,2020-01-21
77,807,16,Wells Gray,Wells \Gray,Viable,Y,2015,2015,3-46,3,Thompson,3d,North Thompson,,35,84,35,80,3-46, ,Y,Y,3205.076698,2846.202234,75,75,26.35090256,26.35090256,2020-01-21
78,807,16,Wells Gray,Wells \Gray,Viable,Y,2015,2015,3-44,3,Thompson,3d,North Thompson,,36,85,36,76,3-44, ,N,N,1694.866739,1584.315746,75,75,47.33905029,47.33905029,2020-01-21
79,807,16,Wells Gray,Wells \Gray,Viable,Y,2015,2015,3-45,3,Thompson,3d,North Thompson,,38,86,38,77,3-45, ,Y,Y,2201.402264,2058.180434,61,61,29.63782883,29.63782883,2020-01-21
80,807,16,Wells Gray,Wells \Gray,Viable,Y,2015,2015,3-40,3,Thompson,3d,North Thompson,,40,87,40,72,3-40, ,Y,Y,1656.297543,1645.388688,28,28,17.01725578,17.01725578,2020-01-21
81,807,16,Wells Gray,Wells \Gray,Viable,Y,2015,2015,3-39,3,Thompson,3d,North Thompson,,42,88,42,70,3-39, ,Y,Y,1592.149736,1557.729153,25,25,16.0490036,16.0490036,2020-01-21
82,807,16,Wells Gray,Wells \Gray,Viable,Y,2015,2015,5-2,5,Cariboo,5b,Cariboo,,107,89,107,258,5-02, ,Y,Y,2032.185037,1934.949016,19,19,9.819379807,9.819379807,2020-01-21
83,808,14,Columbia-Shuswap,Columbia-\Shuswap,Viable,Y,2015,2015,3-41,3,Thompson,3d,North Thompson,,41,92,41,73,3-41, ,Y,Y,955.9930047,947.4363523,20,20,21.10959816,21.10959816,2020-01-21
